EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,screenw,screenh,introelapse,testelapse,endelapse,country,lat_appx_lots_of_err,long_appx_lots_of_err,\
1,4,2,5,1,5,1,5,1,5,2,5,4,3,3,2,3,3,2,2,3,2,3,4,3,4,4,3,3,4,2,4,2,3,1,5,4,5,2,3,4,2,3,4,2,3,2,5,3,2,11271,3206,2408,2167,2199,7338,4077,3246,3455,6255,3250,7282,4281,4706,1536,960,2687,4739,8346,8316,8584,4764,1879,3788,7769,5751,4659,2360,4916,3811,2721,4350,3005,4158,2517,10684,3885,14741,3422,14719,2806,4096,1585,6092,11105,3137,2621,4769,2161,1830,360,640,14,247,7,PY,-23,-58,\
1,3,1,3,3,4,1,5,1,4,5,1,5,2,5,5,5,5,4,5,2,3,1,3,3,3,4,3,4,3,2,2,1,3,3,2,5,5,2,3,2,3,1,4,3,5,4,2,3,4,11211,3194,18354,9036,2531,10449,4131,1021,4649,3544,6543,6778,3932,5107,2567,1766,1043,5533,3405,5015,1106,3083,4553,6319,18327,4102,8349,11381,8804,3891,8055,5724,3332,6445,5750,4883,3607,4975,2981,3548,3988,1016,1081,11112,3749,2969,5926,2335,4816,5465,375,667,4,274,13,TR,37.6167,27.55,\
5,1,5,5,5,2,5,5,1,2,2,4,2,4,3,2,2,2,1,1,2,4,3,4,1,5,2,5,5,5,4,4,5,2,4,4,5,2,4,5,4,2,5,2,5,1,5,5,5,5,4576,3704,2880,4371,2706,1848,6004,2707,9684,2387,2179,4023,1773,3237,3979,2304,4234,1987,2151,1834,2420,1673,5402,1958,4764,1784,2758,4776,3753,1993,2743,2633,3187,2077,3321,14396,1930,3491,3888,4048,1808,2644,2469,28296,1793,7149,1882,2568,4446,4331,1366,768,9,200,8,US,38,-97,\
2,4,2,4,2,3,3,4,2,4,4,3,4,4,4,2,4,3,3,3,2,4,3,4,3,3,3,3,2,4,3,4,4,3,1,4,3,2,2,3,4,2,3,2,4,2,4,2,4,4,8758,1655,2906,3713,2674,11183,2432,3279,2301,2381,3675,4873,1877,4389,2199,5974,2583,4258,8757,7798,3976,4714,3007,2170,3359,3976,8960,2533,2351,10754,2059,2684,1513,2724,3683,2040,1676,2310,3510,2865,3097,4643,2371,5066,1927,2846,1937,3511,2453,3279,1280,720,6,191,15,FR,48.8667,2.3333,\
1,5,2,5,1,1,1,5,1,5,1,1,5,3,2,3,2,1,2,2,5,1,4,1,5,1,5,1,1,1,5,4,5,1,4,1,5,1,4,4,5,1,5,1,4,1,5,5,1,4,8489,1682,1459,4410,2657,3350,1497,15900,2667,3006,3114,2887,1406,3400,2509,3039,7449,1821,1933,40746,2097,2095,2100,1388,2642,28202,3384,3534,2267,3350,826,1998,2801,1926,2706,2569,5273,3456,3366,4340,2436,2110,1199,79041,3492,2328,839,5053,6444,1696,375,667,5,300,18,US,38,-97,\
2,4,2,2,4,3,4,2,4,3,3,3,4,3,3,3,3,2,3,2,2,5,2,4,2,4,1,2,4,4,3,3,4,4,2,5,4,2,3,3,3,2,4,1,3,2,3,3,4,4,19507,10800,6188,4544,4394,2986,9313,3019,3047,5949,3620,3189,2598,3013,3639,3226,2825,4490,5330,8998,7850,8830,5732,4148,3485,3679,5489,8596,6680,2838,4945,4301,3866,3499,10852,15038,4531,4702,2630,6142,2969,6059,2856,4346,3567,3177,3506,3150,3435,1028,360,640,99,270,13,AU,-27,133,\
3,1,2,4,5,2,2,2,5,4,5,3,5,3,5,5,5,5,5,3,4,4,5,2,4,4,4,3,2,5,4,3,5,5,3,4,1,3,1,5,5,1,5,1,5,2,5,5,4,5,8742,3240,4323,3793,2058,2166,7908,3100,2997,7367,1425,3444,2168,3840,1892,807,2737,1627,1448,2075,7759,2752,2661,1608,6252,3609,654,2370,2010,4676,2655,4605,2463,2656,3523,5177,3390,4425,5066,2507,2276,3620,2283,3792,1900,3444,3480,2951,881,1444,768,1024,3,165,11,GR,37.9667,23.7167,\
3,1,4,2,5,1,3,3,3,3,4,2,5,3,2,3,3,2,2,1,2,5,2,5,2,3,1,4,5,4,5,1,2,3,3,1,5,2,3,3,5,1,5,1,4,1,4,4,5,4,13490,1758,6654,1410,5291,2599,4276,4022,774,4565,2456,5075,3953,3289,2905,2824,3848,4186,1954,1810,5416,2570,3831,95381,2959,2757,2805,4837,4263,7833,6042,3532,3362,2786,4277,5832,6703,4912,5668,6924,2197,3627,7061,2496,3847,3270,3212,7072,4217,4332,1366,768,188,303,8,CA,43.6425,-79.3872,\
4,3,5,1,5,1,4,1,1,2,5,3,5,2,2,3,3,3,2,4,1,5,1,5,3,5,1,4,5,5,4,3,2,3,3,2,4,3,3,3,5,3,4,3,5,1,5,4,3,4,7284,3026,2243,3276,2811,3066,7032,4207,3748,3446,2718,2640,2754,4981,5456,3454,5844,2120,3478,2740,3788,2594,5009,2537,4275,2724,4842,4758,3530,2716,3602,3136,5434,4551,2128,6576,3236,4446,2546,4820,1692,5394,4550,3239,1786,159608,4005,3158,3602,6496,1366,768,2,351,11,US,38,-97,\
4,3,5,3,2,1,3,5,3,5,5,4,5,1,2,4,4,1,5,4,1,5,3,5,1,4,1,5,4,4,4,5,4,4,1,4,4,4,4,4,5,5,5,3,3,2,5,4,5,3,3994,2468,2602,3398,2464,5450,3974,1090,2540,1354,3219,2726,1794,8428,3373,6184,1722,3309,1915,2156,4410,2788,2492,3108,2278,2516,11810,1778,2804,4854,3635,2988,2341,1266,2675,5615,3534,3331,4164,3340,2324,3699,1966,2900,4166,2107,5384,2276,4182,4157,1366,768,18,170,12,US,44.9054,-92.8829,\
